Data from TmLN Sample 3_USBC44471_15-10-42-375.txt Node
Date: Wed Jul 29 15:10:42 MDT 2020
User: Montana Instruments
Spectrometer: USBC4447
Scans to average: 1
Trigger mode: 4
Integration Time (sec): 1.000000E1
Electric dark correction enabled: true
Boxcar width: 0
XAxis mode: Wavelengths
Number of Pixels in Spectrum: 3648
>>>>>Begin Spectral Data<<<<<
344.991	-4714.77
345.205	-4714.77
345.419	-4714.77
345.633	-4729.1
345.847	-4722.96
346.061	-135.51
346.275	1306.26
346.489	-1784.12
346.703	106.15
346.917	-3025.19
347.131	1711.76
347.345	-764.23
347.559	-979.27
347.773	2137.74
347.986	67.24
348.2	3556.98
348.414	-2197.81
348.628	-1149.25
348.842	-2064.69
349.056	-1696.06
349.269	773.79
349.483	1887.89
349.697	2018.96
349.911	1967.76
350.125	-1610.04
350.338	958.11
350.552	1355.41
350.766	-387.41
350.979	-2953.51
351.193	-301.39
351.407	5817.94
351.621	308.9
351.834	-2591.02
352.048	2981.5
352.262	-735.56
352.475	3829.36
352.689	1681.04
352.902	2041.48
353.116	302.76
353.33	-1986.87
353.543	-2005.3
353.757	833.18
353.971	585.38
354.184	745.12
354.398	-426.32
354.611	1367.7
354.825	3290.74
355.038	1699.47
355.252	-72.02
355.465	-180.56
355.679	-3377.44
355.892	1162.9
356.106	1851.02
356.319	8078.9
356.533	-1122.63
356.746	97.96
356.96	-979.27
357.173	-2752.81
357.386	1965.71
357.6	-579.92
357.813	-1515.84
358.027	-3369.25
358.24	-1577.28
358.453	3104.38
358.667	-2167.09
358.88	1527.44
359.094	-2232.63
359.307	743.07
359.52	-438.61
359.733	2578.05
359.947	-3627.29
360.16	1855.12
360.373	2305.67
360.587	-2072.89
360.8	-1038.66
361.013	93.87
361.226	-1331.52
361.44	3106.43
361.653	2174.6
361.866	-1038.66
362.079	-3797.28
362.292	648.86
362.506	3993.2
362.719	1199.77
362.932	3520.12
363.145	300.71
363.358	-1925.43
363.571	-2079.03
363.785	-141.65
363.998	1834.64
364.211	2428.55
364.424	-1931.58
364.637	1582.74
364.85	-850.25
365.063	2504.32
365.276	593.57
365.489	-2361.65
365.702	-0.34
365.915	536.23
366.128	61.1
366.341	2455.17
366.554	3892.85
366.767	-1526.08
366.98	521.89
367.193	1517.2
367.406	-2634.03
367.619	4327.02
367.832	2258.57
368.045	779.93
368.258	796.32
368.471	1482.39
368.684	-3643.68
368.896	-3451.17
369.109	376.48
369.322	-2130.23
369.535	245.41
369.748	-2441.52
369.961	-792.91
370.173	-3670.3
370.386	-3764.51
370.599	3202.68
370.812	-403.79
371.025	-1556.8
371.237	585.38
371.45	734.88
371.663	1355.41
371.876	-1192.26
372.088	5320.28
372.301	-1370.43
372.514	-2863.4
372.726	857.76
372.939	-102.74
373.152	-950.6
373.364	1541.78
373.577	3806.83
373.79	-227.67
374.002	-1687.87
374.215	-3778.84
374.428	-3326.24
374.64	1920.65
374.853	-1386.82
375.065	-604.49
375.278	4103.79
375.491	628.39
375.703	1928.85
375.916	-3414.31
376.128	-1388.86
376.341	-2611.5
376.553	1410.71
376.766	-2689.32
376.978	-3307.81
377.191	1160.86
377.403	-3209.51
377.616	3624.56
377.828	4552.29
378.04	-2079.03
378.253	-684.36
378.465	689.82
378.678	1625.75
378.89	-1786.17
379.103	-1136.96
379.315	648.86
379.527	-3264.8
379.74	-323.92
379.952	102.06
380.164	-2797.87
380.377	2541.19
380.589	433.83
380.801	452.26
381.014	2072.2
381.226	1562.26
381.438	513.7
381.65	-2642.22
381.863	593.57
382.075	-2117.94
382.287	-3731.74
382.499	-1628.48
382.712	231.08
382.924	255.65
383.136	-979.27
383.348	-3729.69
383.56	327.33
383.772	-2054.45
383.985	644.77
384.197	1859.21
384.409	-391.5
384.621	757.41
384.833	513.7
385.045	544.42
385.257	-2191.67
385.469	-948.55
385.681	618.15
385.893	532.13
386.105	-1861.94
386.318	-3733.79
386.53	83.63
386.742	-3852.57
386.954	-3506.46
387.166	3251.83
387.378	513.7
387.589	401.06
387.801	-3666.21
388.013	-3041.57
388.225	-2040.12
388.437	-3713.31
388.649	-3250.47
388.861	3178.11
389.073	1552.02
389.285	-809.29
389.497	1232.54
389.709	1906.32
389.92	-1732.92
390.132	-1532.22
390.344	-1089.86
390.556	-1171.78
390.768	749.22
390.98	-1210.69
391.191	2332.3
391.403	1158.81
391.615	677.54
391.827	-2244.92
392.038	-1466.69
392.25	-229.71
392.462	-3610.91
392.674	-3537.18
392.885	-2642.22
393.097	-3553.57
393.309	-889.16
393.52	1678.99
393.732	-3080.49
393.944	1035.93
394.155	659.1
394.367	-2584.88
394.579	1066.65
394.79	-2380.08
395.002	274.09
395.213	-3737.88
395.425	-90.45
395.637	-2386.22
395.848	-3725.6
396.06	868
396.271	796.32
396.483	-2734.38
396.694	89.77
396.906	-487.76
397.117	1722
397.329	2002.57
397.54	-846.15
397.752	-3461.41
397.963	-2091.32
398.175	609.95
398.386	1672.85
398.598	-1335.62
398.809	-3674.4
399.02	1398.42
399.232	1355.41
399.443	519.84
399.655	-1517.89
399.866	-2470.19
400.077	-196.95
400.289	1871.5
400.5	460.45
400.711	1304.21
400.923	-2146.61
401.134	-2140.47
401.345	-3397.92
401.556	3747.44
401.768	-1229.12
401.979	-710.99
402.19	1339.03
402.401	-905.54
402.613	634.53
402.824	-809.29
403.035	-3569.95
403.246	-3516.7
403.457	904.86
403.669	532.13
403.88	-2732.33
404.091	-3615.01
404.302	-2081.08
404.513	-700.75
404.724	-1284.42
404.935	-1218.88
405.146	1564.31
