Independent Variable	Fit Peak 1	Fit Peak 2	Fit Peak 3	Fit Peak 4	Fit Peak 5	Fit Peak 6	Fit Peak 7	Fit Peak 8	Fit Peak 9	Fit Peak 10	Fit Peak 11	Fit Peak 12	Fit Peak 13	Fit Peak 14	Fit Peak 15	Fit Peak 16	Fit Peak 17	Fit Peak 18	Cumulative Fit Peak	Independent Variable	Regular Residual E"Smoothed Y1"	Regular Residual E"Smoothed Y1"	Fitted Y	Regular Residual E"Smoothed Y1"	Regular Residual E"Smoothed Y1"	Percentiles	Reference X	Reference Line
																											mu = 17.645232	sigma = 212.864956
354.973149054505	-60.2158326994028	-60.3392127052947	-50.6140291461907	-60.0296525596453	-60.339212720504	-58.9584064488788	-60.3392117351492	-113.60706846688	-60.338965561507	-60.0995924131221	-60.3238105406194	-60.217100575465	-60.2342789018903	-60.2086171298645	-60.2611943829157	-60.339212720504	-60.2651998794769	-60.3089683584695	-101.272950697211	347.773	116.53174177331	116.53174177331	-101.373559955128	116.53174177331	-1140.58745232531	0.373466730624272		
355.741006674082	-60.2153577471311	-60.3392127052367	-50.6119716385734	-60.028523727346	-60.339212720504	-58.9535636390615	-60.3392117317988	-113.60708868962	-60.3389647531619	-60.098814032803	-60.3237615623213	-60.2167151267325	-60.2339564763358	-60.2082226138077	-60.2609617848883	-60.339212720504	-60.2649876717451	-60.3088827453178	-101.262005838321	347.986	99.771543876253	99.771543876253	-101.370634785344	99.771543876253	-1136.91623143008	0.400877132871925		
356.50886429366	-60.2148800470155	-60.3392127051785	-50.6099174038477	-60.0273887098223	-60.339212720504	-58.9486953074037	-60.3392117284313	-113.607108878779	-60.3389639408436	-60.098031850377	-60.323712349989	-60.2163278497762	-60.2336325622259	-60.2078263072713	-60.2607281450364	-60.339212720504	-60.2647745499997	-60.3087967681307	-101.251018296567	348.2	118.944965537433	118.944965537433	-101.36769281016	118.944965537433	-1115.29881369281	0.428287535119578		
357.276721913237	-60.2143995778177	-60.3392127051199	-50.6078664442706	-60.0262474618082	-60.339212720504	-58.9438012742559	-60.3392117250466	-113.607129034355	-60.3389631245261	-60.0972458410199	-60.3236629021289	-60.2159387330139	-60.2333071503822	-60.2074281994035	-60.2604934571283	-60.339212720504	-60.2645605089837	-60.3087104248412	-101.239987756542	348.414	110.004747749347	110.004747749347	-101.364747749347	110.004747749347	-1109.66356348304	0.455697937367231		
358.044579532814	-60.2139163180936	-60.3392127050609	-50.6058187620957	-60.0250999376229	-60.339212720504	-58.9388813583857	-60.3392117216444	-113.60714915635	-60.338962304183	-60.0964559797048	-60.3236132172354	-60.2155477647712	-60.2329802315553	-60.2070282792706	-60.2602577148854	-60.339212720504	-60.2643455434024	-60.3086237133678	-101.228913900069	348.628	84.495435960288	84.495435960288	-101.361799596652	84.495435960288	-999.394616536545	0.483108339614884		
358.812437152392	-60.2134302461915	-60.3392127050017	-50.6037743595736	-60.0239460911663	-60.339212720504	-58.9339353769598	-60.3392117182248	-113.607169244763	-60.3389614797878	-60.0956622411992	-60.3235632937908	-60.2151549332812	-60.2326517964243	-60.2066265358556	-60.2600209119824	-60.339212720504	-60.2641296479228	-60.3085366316143	-101.217796406179	348.842	86.5406665276262	86.5406665276262	-101.358848345808	86.5406665276262	-984.449503661544	0.510518741862537		
359.580294771969	-60.212941340249	-60.339212704942	-50.6017332389513	-60.0227858759142	-60.339212720504	-58.9289631455284	-60.3392117147876	-113.607189299594	-60.3389606513138	-60.094864600064	-60.3235131302653	-60.2147602266832	-60.2323218355963	-60.2062229580577	-60.2597830420462	-60.339212720504	-60.2639128171735	-60.3084491774694	-101.206634951075	349.056	111.857712172352	111.857712172352	-101.355893990533	111.857712172352	-880.038320690497	0.53792914411019		
360.348152391546	-60.2124495781908	-60.3392127048821	-50.5996954024726	-60.0216192449137	-60.339212720504	-58.9239644780069	-60.3392117113327	-113.607209320843	-60.3389598187339	-60.0940630306505	-60.3234627251168	-60.2143636330222	-60.2319903396052	-60.2058175346914	-60.2595440986557	-60.339212720504	-60.2636950457443	-60.3083613488068	-101.195429208108	349.269	115.020223078983	115.020223078983	-101.35295035171	115.020223078983	-866.311029886876	0.565339546357843		
361.116010011123	-60.2119549377266	-60.3392127048217	-50.5976608523783	-60.0204461507785	-60.339212720504	-58.9189391866587	-60.33921170786	-113.607229308509	-60.3389589820212	-60.0932575070989	-60.3234120767907	-60.2139651402475	-60.2316572989116	-60.205410254486	-60.2593040753417	-60.339212720504	-60.2634763281856	-60.3082731434849	-101.184178847741	349.483	131.029080692339	131.029080692339	-101.349989783249	131.029080692339	-864.499132835421	0.592749948605496		
361.883867630701	-60.2114573963478	-60.3392127047611	-50.5956295909054	-60.0192665456841	-60.339212720504	-58.9138870820782	-60.3392117043692	-113.607249262594	-60.338958141148	-60.0924480033363	-60.3233611837199	-60.213564736212	-60.2313227039019	-60.2050011060843	-60.2590629655859	-60.339212720504	-60.2632566590085	-60.3081845593468	-101.172883537523	349.697	150.202480636905	150.202480636905	-101.34702609145	150.202480636905	-838.99900799888	0.620160350853149		
362.651725250278	-60.2109569313256	-60.3392127047001	-50.593601620288	-60.0180803813627	-60.339212720504	-58.9088079731719	-60.3392117008604	-113.607269183096	-60.3389572960869	-60.091634493074	-60.3233100443248	-60.2131624086717	-60.2309865448875	-60.2045900780426	-60.258820762821	-60.339212720504	-60.2630360326841	-60.3080955942202	-101.161542942058	349.911	131.954968360881	131.954968360881	-101.344059269973	131.954968360881	-799.31051502745	0.647570753100802		
363.419582869855	-60.210453519708	-60.3392127046387	-50.5915769427568	-60.0168876090985	-60.339212720504	-58.9037016671412	-60.3392116973334	-113.607289070017	-60.3389564468099	-60.0908169498059	-60.323258657013	-60.2127581452839	-60.2306488121041	-60.204177158829	-60.2585774604298	-60.339212720504	-60.2628144436434	-60.3080062459173	-101.150156722969	350.125	147.962907494276	147.962907494276	-101.341089312458	147.962907494276	-787.666802998807	0.674981155348455		
