Independent Variable	Fit Peak 1	Fit Peak 2	Fit Peak 3	Fit Peak 4	Fit Peak 5	Fit Peak 6	Fit Peak 7	Fit Peak 8	Fit Peak 9	Fit Peak 10	Fit Peak 11	Fit Peak 12	Fit Peak 13	Fit Peak 14	Fit Peak 15	Fit Peak 16	Fit Peak 17	Fit Peak 18	Fit Peak 19	Fit Peak 20	Cumulative Fit Peak	Independent Variable	Regular Residual E"Smoothed Y1"	Regular Residual E"Smoothed Y1"	Fitted Y	Regular Residual E"Smoothed Y1"	Regular Residual E"Smoothed Y1"	Percentiles	Reference X	Reference Line
																													mu = -0.068995	sigma = 191.159419
354.205291434928	-100.028402777329	-99.9840570289854	-100.030077980401	-100.013894507564	-99.8373803555064	-99.5977058042186	-99.7784766470855	-100.030077980401	-99.8235088897476	-99.7889377131099	-99.8805922507979	-99.7788786001628	-99.7538767003824	-99.8233871424978	-99.828961093528	-99.1855491390987	-99.8092219973602	-99.6822368489728	-100.339572527206	-100.030077980401	-96.4533923371446	347.559	121.764214334475	121.764214334475	-96.5523961526567	121.764214334475	-1149.42303039524	0.346056328376619		
354.973149054505	-100.028396337068	-99.983882288707	-100.030077980401	-100.013834777561	-99.8366795630788	-99.5961480680812	-99.777595569914	-100.030077980401	-99.822808230042	-99.7881321280983	-99.8800959383328	-99.7780584177143	-99.7529860502975	-99.8227353382429	-99.8283437506126	-99.1829995699251	-99.8085476857444	-99.6812224259243	-100.340462753344	-100.030077980401	-96.4416812062796	347.773	111.707454886697	111.707454886697	-96.5492730685153	111.707454886697	-1148.02421192169	0.373466730624272		
355.741006674082	-100.028389859589	-99.9837065512395	-100.030077980401	-100.013774716247	-99.8359749398352	-99.5945818989307	-99.7767098561777	-100.030077980401	-99.8221039986371	-99.7873224989162	-99.8795971497684	-99.7772342118887	-99.7520910849766	-99.8220804455485	-99.8277235607076	-99.1804384370452	-99.8078702799827	-99.6802035580606	-100.341356825391	-100.030077980401	-96.4299121865333	347.986	94.9470694704253	94.9470694704253	-96.5461603795163	94.9470694704253	-1144.35705933264	0.400877132871925		
356.50886429366	-100.028383344603	-99.9835298089803	-100.030077980401	-100.013714321169	-99.8352664577966	-99.5930072357889	-99.7758194732849	-100.030077980401	-99.82139617121	-99.7865087984445	-99.8790958686048	-99.7764059563284	-99.7511917764967	-99.8214224448698	-99.8271005062792	-99.1778656704178	-99.8071897611081	-99.6791802193721	-100.342254765528	-100.030077980401	-96.4180848938731	348.2	114.120301578165	114.120301578165	-96.5430288508915	114.120301578165	-1122.72327579673	0.428287535119578		
357.276721913237	-100.02837679182	-99.9833520542543	-100.030077980401	-100.013653589848	-99.8345540887282	-99.5914240171259	-99.7749243883569	-100.030077980401	-99.8206847232302	-99.7856909993366	-99.8785920782041	-99.7755736244594	-99.750288096708	-99.8207613165067	-99.8264745696585	-99.1752811994704	-99.8065061100081	-99.6781523836586	-100.343156596097	-100.030077980401	-96.4061989410623	348.414	105.17989307863	105.17989307863	-96.53989307863	105.17989307863	-1117.0839378092	0.455697937367231		
358.044579532814	-100.028370200948	-99.9831732793129	-100.030077980401	-100.013592519784	-99.8338378041361	-99.5898321808532	-99.7740245682248	-100.030077980401	-99.8199696299577	-99.7848690740157	-99.8780857617894	-99.7747371894895	-99.7493800172327	-99.8200970406031	-99.8258457330401	-99.1726849530947	-99.8058193074229	-99.6771200245277	-100.344062339602	-100.030077980401	-96.394253937626	348.628	79.6703894186599	79.6703894186599	-96.5367530550229	79.6703894186599	-1006.81087780554	0.483108339614884		
358.812437152392	-100.02836357169	-99.9829934763333	-100.030077980401	-100.013531108452	-99.8331175752651	-99.5882316643185	-99.7731199794271	-100.030077980401	-99.8192508664406	-99.7840429946729	-99.8775769024433	-99.7738966244061	-99.7484675094621	-99.819429597145	-99.8252139784808	-99.1700768596415	-99.8051293339448	-99.676083115393	-100.344972018709	-100.030077980401	-96.382249489817	348.842	81.7154269541647	81.7154269541647	-96.5336087723465	81.7154269541647	-991.861647616308	0.510518741862537		
359.580294771969	-100.028356903749	-99.9828126374176	-100.030077980401	-100.013469353304	-99.8323933730953	-99.5866224042989	-99.772210588206	-100.030077980401	-99.8185284075132	-99.7832127332643	-99.8770654831068	-99.7730519019736	-99.7475505445546	-99.8187589659589	-99.8245792878985	-99.1674568469157	-99.804436170016	-99.6750416294728	-100.345885656249	-100.030077980401	-96.3701852005852	349.056	107.032278404676	107.032278404676	-96.530460222858	107.032278404676	-887.438109850162	0.53792914411019		
360.348152391546	-100.028350196821	-99.9826307545917	-100.030077980401	-100.01340725177	-99.8316651683393	-99.5850043369948	-99.7712963605043	-100.030077980401	-99.8178022277937	-99.7823782615091	-99.8765514865771	-99.7722029947319	-99.7466290934335	-99.8180851267104	-99.8239416430707	-99.1648248421715	-99.803739795928	-99.6739955397875	-100.346803275218	-100.030077980401	-96.3580606695446	349.269	110.194594868845	110.194594868845	-96.5273221415728	110.194594868845	-873.714948084411	0.565339546357843		
361.116010011123	-100.028343450603	-99.9824478198049	-100.030077980401	-100.013344801254	-99.8309329314394	-99.583377398024	-99.7703772619626	-100.030077980401	-99.817072301682	-99.7815395508869	-99.8760348955072	-99.7713498749937	-99.7457031267845	-99.817408058903	-99.8233010256335	-99.1621807721071	-99.8030401918195	-99.6729448191587	-100.347724898779	-100.030077980401	-96.345875492935	349.483	126.203255964282	126.203255964282	-96.5241650551907	126.203255964282	-871.907155392864	0.592749948605496		
