Independent Variable,Fit Peak 1,Fit Peak 2,Fit Peak 3,Fit Peak 4,Fit Peak 5,Fit Peak 6,Fit Peak 7,Fit Peak 8,Fit Peak 9,Fit Peak 10,Fit Peak 11,Fit Peak 12,Fit Peak 13,Fit Peak 14,Fit Peak 15,Fit Peak 16,Fit Peak 17,Fit Peak 18,Fit Peak 19,Fit Peak 20,Fit Peak 21,Fit Peak 22,Fit Peak 23,Cumulative Fit Peak,Independent Variable,Regular Residual E"Smoothed Y1",Regular Residual E"Smoothed Y1",Fitted Y,Regular Residual E"Smoothed Y1",Regular Residual E"Smoothed Y1",Percentiles,Reference X,Reference Line
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,mu = -0.111565,sigma = 159.985562
351.901718576196,-85.8543665764154,-85.8543716390817,-85.7232168979164,-85.6843919418537,-85.9865866155969,-85.7968364669077,-85.6811624594798,-85.6142050384316,-85.6818553344935,-85.7108826167388,-85.7371527516075,-85.7580786745173,-85.7640651260143,-85.7771165106863,-85.7823393132139,-85.791510743569,-85.836707266632,-85.7975399835952,-85.8319068653997,-85.8543716390817,-85.8543716390817,-85.8543708686212,-85.8064107577411,-84.237641666879,346.917,106.692461556699,106.692461556699,-84.2715524657892,106.692461556699,-1168.65497903209,0.26382512163366,,
352.669576195773,-85.854366556958,-85.8543716390817,-85.7227405463456,-85.6837849025535,-85.9870787779966,-85.7966358238412,-85.6805700338992,-85.6133952001863,-85.6812801836752,-85.7104097837957,-85.7367710374347,-85.7577691143569,-85.7637769070941,-85.776871566878,-85.7821135682133,-85.7913159509855,-85.8366533357198,-85.7973690305978,-85.8318409175988,-85.8543716390817,-85.8543716390817,-85.8543708664519,-85.8062682528721,-84.232321214902,347.131,90.8646641026171,90.8646641026171,-84.2701186480713,90.8646641026171,-1166.99371976835,0.291235523881313,,
353.43743381535,-85.8543665373882,-85.8543716390817,-85.722261594591,-85.683174605668,-85.9875737366755,-85.7964341293106,-85.6799745635005,-85.6125812587581,-85.6807021517221,-85.7099346097501,-85.7363874556371,-85.7574580590002,-85.7634873060168,-85.7766254562815,-85.7818867603282,-85.7911202515372,-85.8365991574263,-85.7971973050557,-85.8317746789546,-85.8543716390817,-85.8543716390817,-85.8543708642735,-85.8061251119071,-84.22697445123,347.345,93.0968646989568,93.0968646989568,-84.2686828807746,93.0968646989568,-1165.06015526981,0.318645926128966,,
354.205291434928,-85.8543665177052,-85.8543716390817,-85.7217800236917,-85.6825610278473,-85.9880715131838,-85.7962313759556,-85.679376027381,-85.6117631863801,-85.680121219358,-85.7094570791207,-85.7360019940105,-85.7571454988022,-85.7631963139298,-85.7763781714743,-85.7816588828754,-85.7909236395857,-85.8365447302363,-85.7970248023066,-85.8317081477542,-85.8543716390817,-85.8543716390817,-85.8543708620858,-85.8059813310545,-84.2216012021863,347.559,109.479063342184,109.479063342184,-84.2672451603648,109.479063342184,-1159.72775477225,0.346056328376619,,
354.973149054505,-85.854366497908,-85.8543716390817,-85.7212958145134,-85.6819441455322,-85.9885721292824,-85.7960275563514,-85.6787744044581,-85.61094095505,-85.6795373671449,-85.708977176298,-85.7356146402513,-85.7568314240399,-85.7629039219095,-85.7761297049748,-85.7814299291192,-85.7907261094491,-85.8364900526226,-85.7968515176534,-85.831641322272,-85.8543716390817,-85.8543716390817,-85.8543708598889,-85.8058369064944,-84.216201292661,347.773,99.4239873014817,99.4239873014817,-84.2658054832991,99.4239873014817,-1149.10212727672,0.373466730624272,,
355.741006674082,-85.8543664779958,-85.8543716390817,-85.7208089477468,-85.6813239349513,-85.9890756069458,-85.7958226630081,-85.678169673468,-85.6101145365278,-85.6789505754819,-85.7084948855432,-85.7352253819548,-85.7565158249118,-85.7626101209606,-85.7758800492416,-85.7811998922708,-85.7905276554008,-85.8364351230464,-85.7966774463631,-85.8315742007698,-85.8543716390817,-85.8543716390817,-85.8543708576826,-85.8056918343787,-84.2107745460971,347.986,82.6652796781236,82.6652796781236,-84.2643705872142,82.6652796781236,-1145.40585521817,0.400877132871925,,
356.50886429366,-85.8543664579677,-85.8543716390817,-85.7203194039056,-85.6807003721193,-85.9895819683647,-85.7956166883698,-85.6775618129634,-85.6092839023334,-85.6783608246034,-85.7080101909866,-85.7348342066146,-85.7561986915369,-85.7623149020154,-85.7756291966731,-85.7809687654876,-85.7903282716699,-85.8363799399572,-85.796502583667,-85.8315067814965,-85.8543716390817,-85.8543716390817,-85.854370855467,-85.80554611083,-84.205320784477,348.2,101.840199722637,101.840199722637,-84.2629269953636,101.840199722637,-1123.88840903603,0.428287535119578,,
357.276721913237,-85.8543664378227,-85.8543716390817,-85.7198271633245,-85.6800734328346,-85.9900912359482,-85.795409624814,-85.6769508013114,-85.6084490237442,-85.6777680945773,-85.7075230766266,-85.7344411016214,-85.755880013954,-85.7620182559332,-85.7753771396069,-85.7807365418731,-85.7901279524402,-85.8363245017923,-85.7963269247603,-85.831439062688,-85.8543716390817,-85.8543716390817,-85.8543708532419,-85.8053997319421,-84.1998398283042,348.414,92.9014814361999,92.9014814361999,-84.2614814361998,92.9014814361999,-1118.27780316101,0.455697937367231,,
358.044579532814,-85.85436641756,-85.8543716390817,-85.7193322061574,-85.6794430926764,-85.9906034323266,-85.795201464651,-85.6763366166922,-85.6076098717924,-85.6771723653033,-85.7070335263281,-85.734046054262,-85.7555597821209,-85.7617201734993,-85.7751238703191,-85.7805032144761,-85.7899266918498,-85.8362688069772,-85.7961504648015,-85.8313710425672,-85.8543716390817,-85.8543716390817,-85.8543708510073,-85.8052526937795,-84.1943314965947,348.628,67.3936702697845,67.3936702697845,-84.2600339061476,67.3936702697845,-1008.03352576029,0.483108339614884,,
358.812437152392,-85.8543663971787,-85.8543716390817,-85.7188345123752,-85.678809327003,-85.9911185803541,-85.7949922001231,-85.6757192370966,-85.6067664172629,-85.6765736165113,-85.7065415238214,-85.7336490517184,-85.7552379859138,-85.7614206454247,-85.7748693810239,-85.7802687762902,-85.789724483991,-85.8362128539251,-85.7959731989124,-85.8313027193436,-85.8543716390817,-85.8543716390817,-85.8543708487631,-85.805104992377,-84.1887956068576,348.842,69.4404025834433,69.4404025834433,-84.2585844016248,69.4404025834433,-993.112982266026,0.510518741862537,,
359.580294771969,-85.8543663766777,-85.8543716390817,-85.7183340617638,-85.6781721109491,-85.9916367031115,-85.7947818234037,-85.6750986403242,-85.6059186306902,-85.67597182776,-85.7060470527005,-85.7332500810668,-85.7549146151262,-85.7611196623453,-85.7746136638728,-85.7800332202534,-85.7895213229096,-85.8361566410369,-85.7957951221774,-85.8312340912137,-85.8543716390817,-85.8543716390817,-85.8543708465094,-85.8049566237397,-84.1832319750795,349.056,94.7589511008596,94.7589511008596,-84.2571329190414,94.7589511008596,-888.774789557556,0.53792914411019,,
360.348152391546,-85.8543663560563,-85.8543716390817,-85.7178308339222,-85.6775314194233,-85.9921578239089,-85.794570326597,-85.6744748039815,-85.6050664823563,-85.6753669784342,-85.7055500964222,-85.7328491292762,-85.7545896594681,-85.7608172148207,-85.7743567109541,-85.7797965392474,-85.7893172026045,-85.836100166701,-85.7956162296436,-85.8311651563603,-85.8543716390817,-85.8543716390817,-85.854370844246,-85.8048075838423,-84.1776404157138,349.269,97.9229589785728,97.9229589785728,-84.2556862513002,97.9229589785728,-875.023225732581,0.565339546357843,,
361.116010011123,-85.8543663353133,-85.8543716390817,-85.7173248082601,-85.6768872271057,-85.9926819662884,-85.7943577017367,-85.6738477054798,-85.604209942288,-85.6747590477443,-85.7050506383044,-85.7324461832078,-85.7542631085656,-85.7605132933341,-85.7740985142922,-85.7795587260971,-85.7891121170275,-85.8360434292937,-85.7954365163201,-85.8310959129528,-85.8543716390817,-85.8543716390817,-85.8543708419729,-85.8046578686294,-84.1720207416613,349.483,113.933321720166,113.933321720166,-84.2542308110746,113.933321720166,-873.187081266227,0.592749948605496,,
361.883867630701,-85.854366314448,-85.8543716390817,-85.7168159639963,-85.6762395084455,-85.993209154027,-85.7941439407859,-85.6732173220331,-85.603348980254,-85.6741480147234,-85.7045486615248,-85.7320412296136,-85.7539349519595,-85.760207888291,-85.7738390658473,-85.7793197735704,-85.7889060600824,-85.8359864271781,-85.7952559771777,-85.8310263591467,-85.8543716390817,-85.8543716390817,-85.8543708396901,-85.8045074740147,-84.1663727642572,349.697,133.108227927439,133.108227927439,-84.2527733819843,133.108227927439,-629.546106639764,0.620160350853149,,
362.651725250278,-85.8543662934593,-85.8543716390817,-85.7163042801561,-85.6755882376582,-85.9937394111394,-85.7939290356357,-85.6725836306562,-85.6024835657624,-85.6735338582262,-85.7040441491194,-85.7316342551352,-85.7536051791049,-85.7599009900191,-85.7735783575142,-85.7790796743769,-85.788699025625,-85.8359291587051,-85.7950746071488,-85.830956493084,-85.8543716390817,-85.8543716390817,-85.8543708373974,-85.8043563958811,-84.1606962932522,349.911,114.862223051315,114.862223051315,-84.2513139604048,114.862223051315,-623.395604005029,0.647570753100802,,
363.419582869855,-85.8543662723462,-85.8543716390817,-85.7157897355693,-85.6749333887235,-85.9942727618809,-85.7937129781048,-85.6719466081624,-85.6016136680583,-85.6729165569268,-85.7035370839813,-85.7312252463034,-85.7532737793702,-85.7595925887666,-85.7733163811222,-85.7788384211682,-85.7884910074623,-85.8358716222123,-85.7948924011268,-85.8308863128925,-85.8543716390817,-85.8543716390817,-85.8543708350948,-85.8042046300803,-84.1549911368008,350.125,130.871670724524,130.871670724524,-84.2498525427056,130.871670724524,-623.188723894436,0.674981155348455,,
364.187440489433,-85.8543662511077,-85.8543716390817,-85.7152723088681,-85.6742749353821,-85.9948092307504,-85.7934957599387,-85.6713062311615,-85.6007392561205,-85.672296089317,-85.7030274488588,-85.730814189536,-85.7529407420361,-85.7592826747025,-85.7730531284343,-85.7785960065368,-85.7882819993523,-85.8358138160244,-85.7947093539658,-85.8308158166861,-85.8543716390817,-85.8543716390817,-85.8543708327823,-85.8040521724322,-84.1492571014414,350.338,126.216577786484,126.216577786484,-84.248395968302,126.216577786484,-621.154241147105,0.702391557596108,,
364.95529810901,-85.854366229743,-85.8543716390817,-85.7147519784847,-85.6736128511335,-85.9953488424933,-85.7932773728087,-85.6706624760577,-85.5998602986591,-85.6716724337046,-85.7025152263545,-85.7304010711377,-85.752606056295,-85.7589712379148,-85.7727885911464,-85.7783524230156,-85.7880719950031,-85.8357557384533,-85.79452546048,-85.8307450025646,-85.8543716390817,-85.8543716390817,-85.8543708304598,-85.8038990187252,-84.1434939920821,350.552,128.821476011351,128.821476011351,-84.2469305568052,128.821476011351,-619.704907406314,0.729801959843761,,
365.723155728587,-85.8543662082508,-85.8543716390817,-85.7142287226491,-85.6729471092333,-85.9958916221044,-85.7930578083116,-85.6700153190471,-85.5989767641126,-85.6710455682111,-85.7020003989234,-85.7299858772983,-85.75226971125,-85.7586582684104,-85.7725227608867,-85.7781076630774,-85.7878609880733,-85.8356973877974,-85.7943407154441,-85.8306738686133,-85.8543716390817,-85.8543716390817,-85.8543708281273,-85.8037451647155,-84.137701611985,350.766,128.261826774625,128.261826774625,-84.2454631382602,128.261826774625,-618.79548118715,0.757212362091414,,
366.491013348165,-85.8543661866303,-85.8543716390817,-85.7137025193871,-85.6722776826902,-85.9964375948311,-85.7928370579682,-85.6693647361161,-85.5980886206452,-85.6704154707699,-85.7014829488715,-85.7295685940919,-85.7519316959138,-85.7583437561142,-85.7722556292152,-85.7778617191345,-85.7876489721704,-85.8356387623416,-85.794155113592,-85.8306024129031,-85.8543716390817,-85.8543716390817,-85.8543708257847,-85.8035906061267,-84.1318797627455,350.979,134.404000580176,134.404000580176,-84.244000580177,134.404000580176,-611.575453530302,0.784622764339067,,
