Independent Variable	Fit Peak 1	Fit Peak 2	Fit Peak 3	Fit Peak 4	Fit Peak 5	Fit Peak 6	Fit Peak 7	Fit Peak 8	Fit Peak 9	Fit Peak 10	Fit Peak 11	Fit Peak 12	Cumulative Fit Peak	Independent Variable	Regular Residual F"Smoothed Y2"	Regular Residual F"Smoothed Y2"	Fitted Y	Regular Residual F"Smoothed Y2"	Regular Residual F"Smoothed Y2"	Percentiles	Reference X	Reference Line
																					mu = -0.027843	sigma = 188.204693
353.43743381535	-115.554763434041	-115.554763137261	-115.380565053317	-113.751519289504	-113.894435636867	-114.389208867995	-114.913585416715	-115.443673965228	-115.4211856894	-115.554763434041	-115.554763434041	-115.554763434041	-109.865593018004	347.345	134.228030109757	134.228030109757	-110.014476390749	134.228030109757	-920.504888848838	0.318645926128966		
354.205291434928	-115.554763434041	-115.554763136146	-115.37993289721	-113.745221794613	-113.888821322867	-114.385331295985	-114.91156130092	-115.443332713798	-115.420782465547	-115.554763434041	-115.554763434041	-115.554763434041	-109.846402888802	347.559	126.758520039588	126.758520039588	-110.009346485869	126.758520039588	-917.79832863585	0.346056328376619		
354.973149054505	-115.554763434041	-115.554763135025	-115.379297293512	-113.738891253732	-113.883178481879	-114.381434326555	-114.909527577802	-115.442989886698	-115.420377412638	-115.554763434041	-115.554763434041	-115.554763434041	-109.827115329558	347.773	119.695201176203	119.695201176203	-110.004209440666	119.695201176203	-888.406696716542	0.373466730624272		
355.741006674082	-115.554763434041	-115.554763133898	-115.378658217106	-113.732527435251	-113.877506920298	-114.377517830009	-114.907484186418	-115.442645474207	-115.419970519591	-115.554763434041	-115.554763434041	-115.554763434041	-109.807729678493	347.986	117.42173392493	117.42173392493	-109.99908929683	117.42173392493	-873.633202570811	0.400877132871925		
356.50886429366	-115.554763434041	-115.554763132764	-115.378015642645	-113.726130105529	-113.87180644287	-114.373581675559	-114.905431065337	-115.442299466531	-115.419561775238	-115.554763434041	-115.554763434041	-115.554763434041	-109.78824526819	348.2	116.620797468766	116.620797468766	-109.993937964634	116.620797468766	-859.482633763957	0.428287535119578		
357.276721913237	-115.554763434041	-115.554763131624	-115.377369544553	-113.71969902887	-113.866076852681	-114.369625731324	-114.903368152645	-115.441951853797	-115.41915116833	-115.554763434041	-115.554763434041	-115.554763434041	-109.768661425539	348.414	118.714233997702	118.714233997702	-109.988779452247	118.714233997702	-842.031723506138	0.455697937367231		
358.044579532814	-115.554763434041	-115.554763130477	-115.376719897016	-113.713233967501	-113.860317951139	-114.365649864311	-114.901295385928	-115.441602626058	-115.418738687528	-115.554763434041	-115.554763434041	-115.554763434041	-109.748977471673	348.628	122.347911266958	122.347911266958	-109.983613746297	122.347911266958	-826.711205797164	0.483108339614884		
358.812437152392	-115.554763434041	-115.554763129324	-115.376066673986	-113.706734681554	-113.854529537953	-114.361653940408	-114.899212702279	-115.441251773288	-115.41832432141	-115.554763434041	-115.554763434041	-115.554763434041	-109.729192721916	348.842	122.833564800322	122.833564800322	-109.97844083338	122.833564800322	-826.237791891161	0.510518741862537		
359.580294771969	-115.554763434041	-115.554763128164	-115.375409849175	-113.700200929039	-113.848711411119	-114.357637824372	-114.897120038283	-115.440899285383	-115.417908058466	-115.554763434041	-115.554763434041	-115.554763434041	-109.709306485717	349.056	125.688715245516	125.688715245516	-109.973260700061	125.688715245516	-819.982778863929	0.53792914411019		
360.348152391546	-115.554763434041	-115.554763126997	-115.374749396052	-113.693632465823	-113.842863366903	-114.353601379817	-114.895017330021	-115.440545152163	-115.417489887097	-115.554763434041	-115.554763434041	-115.554763434041	-109.68931806659	349.269	129.644213292232	129.644213292232	-109.968097589752	129.644213292232	-799.856937717879	0.565339546357843		
