				Smoothed Y1	Smoothed Y2
			          	10 pts AAv smooth of B	10 pts AAv smooth of "Smoothed Y1"
395.637	-1047.02	395.637	-1271.45	-163.202727272727	-106.316198347107
395.848	-2810.33	395.848	-2373.25	-155.755454545455	-102.339008264463
396.06	450.04	396.06	487.76	-161.154545454545	-89.7804958677686
396.271	304.64	396.271	334.16	-135.276363636364	-73.2105785123967
396.483	-1206.77	396.483	-1162.9	23.1618181818182	-54.9820661157024
396.694	-283.13	396.694	-261.8	-4.95090909090902	-42.3387603305785
396.906	-541.18	396.906	-644.77	-23.1972727272727	-27.6136363636363
397.117	1465.83	397.117	1302.85	28.189090909091	-14.7163636363636
397.329	1519.08	397.329	1515.84	60.2127272727273	-2.95305785123961
397.54	-760.31	397.54	-1062.55	66.3563636363637	7.08388429752072
397.752	-1966.56	397.752	-1685.14	-0.10909090909082	1.36338842975213
397.963	-1153.52	397.963	-1177.24	-1.22636363636355	2.93768595041329
398.175	298.49	398.175	170.32	-13.8854545454545	7.16933884297528
398.386	1320.43	398.386	1005.89	-31.7581818181817	5.64628099173561
398.598	-854.51	398.598	-892.57	-24.8699999999999	-1.42842975206604
398.809	-2988.5	398.809	-2213.51	-39.7636363636363	-9.23090909090902
399.02	896.5	399.02	930.12	12.3663636363637	-3.47619834710737
399.232	849.4	399.232	885.06	23.3509090909092	1.80462809917362
399.443	97.79	399.443	131.41	11.4354545454546	8.81165289256205
399.655	-1004.02	399.655	-1083.03	-17.6090909090908	17.5789256198348
399.866	-1163.76	399.866	-1302.17	-19.470909090909	26.1771074380166
400.077	-442.87	400.077	-734.88	63.1927272727273	36.3323140495868
400.289	1447.4	400.289	1302.85	56.8627272727273	38.6679338842976
400.5	-80.38	400.5	-77.48	63.1918181818182	39.4633884297521
400.711	933.36	400.711	938.31	64.6818181818182	41.1390082644629
400.923	-1409.51	400.923	-1427.09	69.7100000000001	34.4027272727273
401.134	-1069.55	401.134	-1203.86	71.9436363636364	25.2968595041323
401.345	-2044.38	401.345	-1941.13	38.0581818181819	7.30520661157027
401.556	3417.55	401.556	3383.59	32.1009090909091	-9.33239669421486
401.768	-1008.11	401.768	-990.88	29.8672727272727	-29.8627272727273
401.979	-322.04	401.979	-456.36	-91.7081818181818	-57.8233884297521
402.19	925.17	402.19	762.19	-119.635454545455	-86.6474380165289
402.401	-489.98	402.401	-409.25	-134.715454545455	-116.436115702479
402.613	97.79	402.613	18.77	-126.150909090909	-142.704214876033
402.824	-735.73	402.824	-708.26	-162.641818181818	-166.50132231405
403.035	-3977.67	403.035	-2635.39	-242.885454545455	-187.387355371901
403.246	-2103.78	403.246	-1814.16	-247.354545454545	-186.87958677686
403.457	331.26	403.457	362.83	-255.731818181818	-181.66652892562
403.669	181.76	403.669	190.8	-250.890909090909	-180.921818181818
403.88	-1726.95	403.88	-1359.51	-229.667272727273	-180.464958677686
404.091	-3056.08	404.091	-2156.17	-199.879090909091	-172.256363636364
404.302	-1348.08	404.302	-1433.24	-86.1227272727273	-149.136446280992
404.513	-604.66	404.513	-675.49	-62.2918181818182	-127.895123966942
404.724	-934.39	404.724	-906.91	-126.523636363636	-107.432479338843
404.935	-721.4	404.935	-1033.88	-121.125454545455	-87.5114049586777
405.146	1043.95	405.146	743.75	-72.3472727272727	-72.1431404958678
405.358	-2064.86	405.358	-1973.9	11.4336363636363	-59.5336363636364
405.569	-1567.21	405.569	-1539.73	-13.7	-57.3671900826447
405.78	-2916.82	405.78	-2178.7	-30.6427272727273	-57.113305785124
405.991	-924.15	405.991	-974.49	-31.759090909091	-46.2133884297521
406.202	93.69	406.202	-75.43	-60.6163636363637	-34.9917355371901
406.413	-332.28	406.413	-353.96	-61.1745454545455	-30.6755371900827
406.624	-1772	406.624	-1580.69	-62.2918181818183	-33.9419834710744
406.835	-375.29	406.835	-259.75	-59.499090909091	-30.5060330578513
407.046	2985.43	407.046	3025.19	-6.62454545454547	-25.20826446281
407.257	-127.49	407.257	-122.54	2.31272727272726	-19.3690082644628
407.468	1322.48	407.468	1028.42	-24.8690909090909	-12.3280165289257
407.679	-367.1	407.679	-263.85	-24.4972727272728	-7.06421487603309
407.89	1842.66	407.89	1839.42	24.0954545454545	-0.141735537190109
408.101	1910.24	408.101	2066.74	27.6327272727273	7.64396694214874
408.312	-487.93	408.312	-636.58	32.4727272727273	14.1771900826446
408.522	-2171.36	408.522	-2041.48	16.8345454545454	16.5297520661157
408.733	302.59	408.733	276.82	-3.27272727272729	26.2109917355372
408.944	343.55	408.944	0.34	13.8554545454545	35.5199173553719
409.155	-690.68	409.155	-614.05	26.1436363636363	38.2786776859504
409.366	1076.72	409.366	1063.24	65.240909090909	41.9176033057851
409.577	-2226.65	409.577	-2049.68	28.190909090909	45.945867768595
409.788	-311.8	409.788	-384.68	81.6245454545454	53.7990909090909
409.999	157.18	409.999	72.02	77.900909090909	54.4251239669421
410.209	-686.58	410.209	-824.99	54.4418181818181	52.0723140495867
410.42	226.81	410.42	-46.76	67.660909090909	49.3301652892561
410.631	-2138.59	410.631	-1879.69	76.7836363636363	38.3961983471074
410.842	67.07	410.842	-390.82	103.22	34.1139669421487
411.053	5184.94	411.053	5200.13	3.61363636363632	22.0290909090908
411.264	1127.92	411.264	1042.76	-12.0254545454546	11.7214049586776
411.474	-1147.37	411.474	-1216.15	-4.02000000000004	3.29247933884291
411.685	26.11	411.685	-87.72	-55.0327272727273	-5.89818181818188
411.896	-1356.27	411.896	-1470.1	-18.9136363636364	-16.5613223140496
412.107	-3195.34	412.107	-2172.55	-51.309090909091	-30.9479338842976
412.317	-1075.7	412.317	-988.83	-35.4836363636364	-29.4585123966943
412.528	1926.63	412.528	1700.16	-38.2763636363637	-26.0564462809918
412.739	-2597.34	412.739	-2309.77	-33.4363636363637	-25.0069421487604
412.949	-1268.2	412.949	-1406.61	-40.5109090909092	-6.96438016528933
413.16	97.79	413.16	-3.75	-55.0327272727273	5.10347107438009
413.371	2215.39	413.371	2056.5	19.9972727272727	9.13181818181811
413.581	1115.63	413.581	1061.19	25.3972727272727	11.6199173553718
413.792	-578.04	413.792	-700.06	7.52454545454538	17.4423140495867
414.003	3724.74	414.003	3688.73	143.435454545454	20.8952066115702
414.213	1779.17	414.213	1825.08	113.832727272727	25.6343801652892
414.424	-2290.14	414.424	-2092.68	-6.99727272727273	21.1323140495867
414.635	-553.46	414.635	-525.99	-8.11454545454544	10.5371900826446
414.845	-1161.71	414.845	-1191.58	25.77	0.805123966942117
415.056	1129.97	415.056	-77.48	4.54545454545457	-7.62371900826449
415.266	-1763.81	415.266	-1576.59	11.62	-38.2586776859504
415.477	-3805.64	415.477	-2578.05	-104.555454545455	-64.2560330578512
415.687	730.61	415.687	584.01	-96.5490909090909	-67.2857024793389
415.898	1093.1	415.898	665.93	-81.6554545454545	-70.5692561983471
416.109	-1819.11	416.109	-1707.66	-85.1927272727273	-79.6751239669422
416.319	491	416.319	377.17	-193.549090909091	-87.5454545454546
416.53	-4209.09	416.53	-2885.25	-172.138181818182	-96.4820661157025
416.74	69.12	416.74	178.51	-40.3236363636364	-83.6526446280992
416.951	-1260.01	416.951	-1396.37	-44.2336363636364	-70.163305785124
417.161	30.21	417.161	39.25	-74.3945454545454	-60.0251239669422
417.372	169.47	417.372	153.94	-82.0281818181818	-50.3609090909091
417.582	601.59	417.582	553.29	-86.6827272727272	-32.7247933884298
417.792	1648.1	417.792	1425.73	36.5681818181818	-17.7967768595041
418.003	2317.79	418.003	2214.2	51.8336363636364	-16.5105785123967
418.213	-616.95	418.213	-712.35	29.8645454545455	-14.5980991735537
418.424	335.35	418.424	530.77	21.1136363636364	-11.3485123966942
418.634	-1679.85	418.634	-1742.48	0.448181818181858	-3.95214876033058
418.844	1048.05	418.844	1016.13	-7.92999999999997	3.52892561983471
419.055	1990.11	419.055	1931.58	-26.1754545454545	-0.110000000000005
419.265	-1360.36	419.265	-1255.06	-23.1963636363636	-4.54429752066116
419.476	497.14	419.476	602.44	-38.6490909090909	-5.50892561983472
419.686	-1079.79	419.686	-868	-0.668181818181779	-4.91636363636364
419.896	-88.57	419.896	-44.71	-4.39090909090908	-9.19834710743803
420.107	-1196.53	420.107	-1218.2	-3.45999999999997	-12.9387603305785
420.317	-727.54	420.317	-863.9	3.05636363636367	-14.0387603305785
420.527	32.26	420.527	106.84	19.2536363636364	-16.0527272727273
420.738	-309.76	420.738	-532.13	27.6318181818182	-15.1386776859504
420.948	1050.1	420.948	1028.42	-46.6536363636364	-18.82826446281
421.158	1543.66	421.158	1501.5	-49.0745454545455	-21.7902479338843
421.368	-582.14	421.368	-712.35	-38.2754545454546	-23.9906611570248
421.579	-334.33	421.579	-407.2	-45.35	-29.5760330578513
421.789	-1257.96	421.789	-1244.82	-28.5945454545455	-36.9892561983472
421.999	-4456.89	421.999	-3427.96	-41.2536363636364	-44.673305785124
422.209	-446.97	422.209	-376.48	-36.9727272727273	-35.025785123967
422.419	-442.87	422.419	-583.33	-27.6645454545455	-24.7689256198347
422.63	-115.2	422.63	-173.74	-58.3827272727273	-16.2047107438017
422.84	-410.11	422.84	-519.84	-62.2918181818182	-5.5925619834711
423.05	-1157.61	423.05	-1240.73	-56.8927272727273	-7.69123966942151
423.26	-1065.46	423.26	-1134.23	59.4690909090909	-9.92545454545457
423.47	-20.99	423.47	-165.54	63.7509090909091	-21.9592561983471
423.681	-2257.37	423.681	-2049.68	55.9309090909091	-35.6347107438017
423.891	884.21	423.891	854.34	71.3836363636364	-43.014132231405
424.101	1676.77	424.101	1630.52	-51.68	-50.6644628099174
424.311	-735.73	424.311	-986.78	-65.83	-58.6195041322314
424.521	-289.28	424.521	-265.89	-169.344545454545	-78.6085123966942
424.731	-780.79	424.731	-835.23	-178.094545454545	-103.184214876033
424.941	-590.33	424.941	-818.85	-139.556363636364	-127.23520661157
425.151	501.24	425.151	1745.21	-146.445454545454	-154.823636363636
425.361	-1774.05	425.361	-1701.52	-144.398181818182	-160.578429752066
425.571	-3664.33	425.571	-2594.44	-160.41	-163.168099173554
425.781	4060.61	425.781	4012.31	-206.581818181818	-148.223223140496
425.991	1043.95	425.991	827.72	-208.63	-132.872148760331
426.201	1611.24	426.201	1657.15	-232.089090909091	-122.513966942149
426.411	347.64	426.411	278.87	-114.982727272727	-110.987851239669
426.621	-1446.38	426.621	-1521.3	-94.3163636363636	-110.513884297521
426.831	-2443.74	426.831	-1912.46	-4.95090909090904	-108.127355371901
427.041	157.18	427.041	125.27	-9.23272727272724	-96.685785123967
427.251	-418.3	427.251	-388.77	-25.6163636363636	-85.4642148760331
427.461	1428.97	427.461	1384.77	-19.6581818181818	-73.0747107438017
427.671	1181.17	427.671	1026.37	-139.184545454545	-72.549917355372
427.881	-786.93	427.881	-700.06	-134.158181818182	-74.3778512396695
428.091	1.54	428.091	0.34	-80.7245454545454	-82.5189256198348
428.301	2426.33	428.301	2390.32	-85.1927272727273	-90.3892561983472
428.511	7.68	428.511	-11.95	-95.8045454545454	-97.0918181818182
428.721	-4399.55	428.721	-3153.53	-109.21	-105.571652892562
