Independent Variable	Fit Peak 1	Fit Peak 2	Fit Peak 3	Fit Peak 4	Fit Peak 5	Fit Peak 6	Fit Peak 7	Fit Peak 8	Fit Peak 9	Fit Peak 10	Fit Peak 11	Fit Peak 12	Fit Peak 13	Fit Peak 14	Fit Peak 15	Fit Peak 16	Fit Peak 17	Cumulative Fit Peak	Independent Variable	Regular Residual E"Smoothed Y1"	Regular Residual E"Smoothed Y1"	Fitted Y	Regular Residual E"Smoothed Y1"	Regular Residual E"Smoothed Y1"	Percentiles	Reference X	Reference Line
																										mu = -0.111440	sigma = 167.090771
356.50886429366	-81.1676166908107	-81.1676166908107	-80.7759742355782	-81.1404139186628	-81.1183588643361	-81.1676136067682	-81.0395623050982	-81.1055594971255	-81.140438731424	-81.1417347666842	-81.1275560237613	-81.1675703973413	-81.0815926668729	-81.1207215989244	-81.1676166908107	-81.1676166908107	-81.1676111352093	-80.2833074580574	348.2	97.8916629962384	97.8916629962384	-80.3143902689658	97.8916629962384	-1123.53107756176	0.428287535119578		
357.276721913237	-81.1676166908107	-81.1676166908107	-80.7745954790172	-81.1403199730402	-81.1181911709343	-81.1676135964544	-81.0391415557081	-81.1053579119533	-81.1403519061734	-81.1416528397933	-81.1274306965182	-81.1675702544941	-81.0813315554817	-81.1205815032357	-81.1676166908107	-81.1676166908107	-81.1676111194319	-80.280349272507	348.414	88.9536104710035	88.9536104710035	-80.3136104710031	88.9536104710035	-1117.93237534238	0.455697937367231		
358.044579532814	-81.1676166908107	-81.1676166908107	-80.7732094285679	-81.1402255398687	-81.1180226196191	-81.1676135860888	-81.0387187289869	-81.1051553428084	-81.1402646641118	-81.1415705232179	-81.1273047801718	-81.1675701109845	-81.081069253373	-81.1204407787236	-81.1676166908107	-81.1676166908107	-81.1676111035872	-80.2773761703809	348.628	63.4464659638243	63.4464659638243	-80.3128296001878	63.4464659638243	-1007.70001452084	0.483108339614884		
358.812437152392	-81.1676166908107	-81.1676166908107	-80.7718160326891	-81.1401306157686	-81.1178532045279	-81.1676135756711	-81.0382938112356	-81.1049517832754	-81.1401770025663	-81.1414878144823	-81.1271782710235	-81.1675699668085	-81.0808057532956	-81.1202994216185	-81.1676166908107	-81.1676166908107	-81.1676110876748	-80.2743880509083	348.842	65.4938658363626	65.4938658363626	-80.3120476545446	65.4938658363626	-992.791339941872	0.510518741862537		
359.580294771969	-81.1676166908107	-81.1676166908107	-80.7704152393838	-81.1400351973309	-81.1176829197476	-81.1676135652008	-81.037866788642	-81.1047472268868	-81.1400889188429	-81.141404711091	-81.1270511653461	-81.167569821962	-81.0805410479428	-81.1201574281228	-81.1676166908107	-81.1676166908107	-81.1676110716943	-80.2713848124649	349.056	90.8130828139117	90.8130828139117	-80.311264632094	90.8130828139117	-888.488411232596	0.53792914411019		
360.348152391546	-81.1676166908107	-81.1676166908107	-80.7690069961938	-81.1399392811167	-81.1175117593145	-81.1676135546776	-81.0374376472799	-81.1045416671219	-81.1400004102257	-81.1413212105287	-81.1269234593828	-81.1675696764407	-81.0802751299522	-81.12001479441	-81.1676166908107	-81.1676166908107	-81.1676110556454	-80.2683663525613	349.269	93.9777569246617	93.9777569246617	-80.3104841973884	93.9777569246617	-874.725119658928	0.565339546357843		
361.116010011123	-81.1676166908107	-81.1676166908107	-80.7675912501954	-81.1398428636574	-81.1173397172137	-81.1676135441011	-81.0370063731073	-81.1043350974069	-81.1399114739772	-81.14123731026	-81.1267951493472	-81.1675695302406	-81.0800079919052	-81.1198715166248	-81.1676166908107	-81.1676166908107	-81.1676110395276	-80.2653325678357	349.483	109.988789929513	109.988789929513	-80.3096990204219	109.988789929513	-872.877260459272	0.592749948605496		
361.883867630701	-81.1676166908107	-81.1676166908107	-80.7661679479937	-81.1397459414541	-81.1171667873786	-81.1676135334711	-81.0365729519659	-81.1041275111139	-81.1398221073374	-81.1411530077292	-81.1266662314231	-81.1675693833574	-81.0797396263261	-81.1197275908832	-81.1676166908107	-81.1676166908107	-81.1676110233406	-80.2622833540456	349.697	129.164367306146	129.164367306146	-80.308912760692	129.164367306146	-769.398935337915	0.620160350853149		
362.651725250278	-81.1676166908107	-81.1676166908107	-80.7647370357182	-81.139648510977	-81.1169929636903	-81.1676135227871	-81.0361373695797	-81.1039189015606	-81.1397323075245	-81.1410683003602	-81.126536701764	-81.1675692357868	-81.0794700256822	-81.1195830132714	-81.1676166908107	-81.1676166908107	-81.1676110070839	-80.2592186060572	349.911	110.91903450711	110.91903450711	-80.3081254162005	110.91903450711	-762.245801764366	0.647570753100802		
363.419582869855	-81.1676166908107	-81.1676166908107	-80.7632984590173	-81.1395505686658	-81.1168182399771	-81.1676135120488	-81.035699611554	-81.1037092620096	-81.1396420717336	-81.1409831855562	-81.126406556493	-81.1675690875244	-81.0791991823826	-81.1194377798463	-81.1676166908107	-81.1676166908107	-81.1676109907571	-80.2561382178371	350.125	126.929155166763	126.929155166763	-80.3073369849453	126.929155166763	-747.358708517044	0.674981155348455		
